Assembly ID,Assembly Description,Assembly Category,Assembly Qty,Assembly Notes,Component SKU,Component Description,Component Vendor,Component VN#,Component Qty
ASM-MHM0FB7IJGV6,"DISCONNECT",Uncategorized,1,"",GLAS-R9-60-NF-KIT,,,,1
ASM-MHM0FB7IJGV6,"DISCONNECT",Uncategorized,1,"",ADR21ITB,,,,2
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",800FP-P4PN3R,,,,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",800FP-SM22PX10 ,,,,1
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",RJ1S-CLD-D24,,,,2
ASM-MHM0FB7JZF22,"CONTROL",Uncategorized,1,"",SJ1S-07LW,,,,2
ASM-MHM0FB7I83VH,"ENCLOSURE",Uncategorized,1,"",CSD423610,,,,1
ASM-MHM0FB7I83VH,"ENCLOSURE",Uncategorized,1,"",CP4236G,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPAXLSA,,,,4
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPAXCLKA5,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPR010BC1,,,,3
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPAXFA11,,,,3
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPAXEMCB,,,,3
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTCE009B10TD,,,,3
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPR012BC1,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",DM1-32011NB-S20S,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPR6P3BC1,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPR004BC1,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPR2P5BC1,,,,1
ASM-MHM0FB7I853S,"MOTORCONTROL",Uncategorized,2,"",XTPR001BC1,,,,1
ASM-MHM0FB7ITH8O,"PLC/COM",Uncategorized,1,"",FC6A-C40R1CE,,,,1
ASM-MHM0FB7ITH8O,"PLC/COM",Uncategorized,1,"",FC6A-R161,,,,1
ASM-MHM0FB7ITH8O,"PLC/COM",Uncategorized,1,"",FC6A-J8A1,,,,1
ASM-MHM0FB7ITH8O,"PLC/COM",Uncategorized,1,"",FC6A-K4A1,,,,1
ASM-MHM0FB7ITH8O,"PLC/COM",Uncategorized,1,"",HG4G-VCXT22MF-B,,,,1
ASM-MHM0FB7ITH8O,"PLC/COM",Uncategorized,1,"",FL SWITCH 1000,,,,1
ASM-MHM0FB7I9A83,"POWERDIST",Uncategorized,1,"",PS5R-VF24,,,,1
ASM-MHM0FB7I9A83,"POWERDIST",Uncategorized,1,"",E93/30SCC,,,,1
ASM-MHM0FB7I9A83,"POWERDIST",Uncategorized,1,"",LP-CC-2,,,,2
ASM-MHM0FB7I9A83,"POWERDIST",Uncategorized,1,"",LP-CC-8,,,,1
ASM-MHM0FB7I9A83,"POWERDIST",Uncategorized,1,"",UD80A,,,,3
